date,rank,name,price,today_purchased,value,now_viewing_customers_count,link
2019/8/27,8,TP-LINK Archer C7 AC1750 Dual Band,1990,0,24,112,https://www.alza.cz/EN/tp-link-archer-c7-ac1750-dual-band-d470129.htm
2019/8/27,9,"Tenda F3 (N300, F303)",369,0,29,38,https://www.alza.cz/EN/tenda-f3-n300-f303-d3754534.htm
2019/8/27,10,ASUS RT-AC68U,3999,0,10,52,https://www.alza.cz/EN/asus-rt-ac68u-d485905.htm
2019/8/28,1,TP-Link Archer C6,999,29,209,379,https://www.alza.cz/EN/tp-link-archer-c6-d5484619.htm
2019/8/28,2,TP-LINK TL-WR841N,499,16,116,201,https://www.alza.cz/EN/tp-link-tl-wr841n-d185181.htm
2019/8/28,3,TP-LINK Archer C50 AC1200 Dual Band,799,0,67,115,https://www.alza.cz/EN/tp-link-archer-c50-ac1200-dual-band-v3-d5250851.htm
2019/8/28,4,ASUS RT-AC57U,1199,0,46,113,https://www.alza.cz/EN/asus-rt-ac57u-d5478059.htm
2019/8/28,5,TP-LINK TL-WR940N,499,0,55,117,https://www.alza.cz/EN/tp-link-tl-wr940n-d185179.htm
2019/8/28,6,TP-LINK Archer C7 AC1750 Dual Band,1990,0,26,121,https://www.alza.cz/EN/tp-link-archer-c7-ac1750-dual-band-d470129.htm
2019/8/28,7,ASUS RT-AC66U B1,2399,0,21,46,https://www.alza.cz/EN/asus-rt-ac66u-b1-d4749139.htm
2019/8/28,8,ASUS RT-AC58U,1999,0,25,73,https://www.alza.cz/EN/asus-rt-ac58u-d4411674.htm
2019/8/28,9,"Tenda F3 (N300, F303)",369,0,29,49,https://www.alza.cz/EN/tenda-f3-n300-f303-d3754534.htm
2019/8/28,10,ASUS RT-AC750,749,0,22,70,https://www.alza.cz/EN/asus-rt-ac750-d4516993.htm
2019/8/29,1,TP-Link Archer C6,999,30,215,361,https://www.alza.cz/EN/tp-link-archer-c6-d5484619.htm
2019/8/29,2,TP-LINK TL-WR841N,499,16,115,203,https://www.alza.cz/EN/tp-link-tl-wr841n-d185181.htm
2019/8/29,3,TP-LINK Archer C50 AC1200 Dual Band,799,0,66,130,https://www.alza.cz/EN/tp-link-archer-c50-ac1200-dual-band-v3-d5250851.htm
2019/8/29,4,ASUS RT-AC57U,1199,0,52,132,https://www.alza.cz/EN/asus-rt-ac57u-d5478059.htm
2019/8/29,5,TP-LINK Archer C7 AC1750 Dual Band,1990,0,27,126,https://www.alza.cz/EN/tp-link-archer-c7-ac1750-dual-band-d470129.htm
2019/8/29,6,TP-LINK TL-WR940N,499,0,55,132,https://www.alza.cz/EN/tp-link-tl-wr940n-d185179.htm
2019/8/29,7,ASUS RT-AC58U,1999,0,24,80,https://www.alza.cz/EN/asus-rt-ac58u-d4411674.htm
2019/8/29,8,ASUS RT-AC66U B1,2399,0,18,59,https://www.alza.cz/EN/asus-rt-ac66u-b1-d4749139.htm
2019/8/29,9,ASUS RT-AC750,749,0,22,60,https://www.alza.cz/EN/asus-rt-ac750-d4516993.htm
2019/8/29,10,TP-LINK Deco M9 Plus 2ks kit,6999,0,0,37,https://www.alza.cz/EN/tp-link-deco-m9-plus-2-pack-d5457471.htm
2019/8/30,1,TP-Link Archer C6,999,30,210,346,https://www.alza.cz/EN/tp-link-archer-c6-d5484619.htm
2019/8/30,2,TP-LINK TL-WR841N,499,16,116,216,https://www.alza.cz/EN/tp-link-tl-wr841n-d185181.htm
2019/8/30,3,TP-LINK Archer C50 AC1200 Dual Band,799,0,68,93,https://www.alza.cz/EN/tp-link-archer-c50-ac1200-dual-band-v3-d5250851.htm
2019/8/30,4,ASUS RT-AC57U,1199,0,52,108,https://www.alza.cz/EN/asus-rt-ac57u-d5478059.htm
2019/8/30,5,TP-LINK Archer C7 AC1750 Dual Band,1990,0,30,101,https://www.alza.cz/EN/tp-link-archer-c7-ac1750-dual-band-d470129.htm
